Transaction_ID,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0006,C4241,Smartphone,598,50.7709694339202,Paypal,Completed
T0009,C3387,Tablet,10,461.70198437439694,Paypal,Completed
T0012,C2912,Tablet,608,50.7709694339202,Paypal,Completed
T0013,C1692,Smartphone,564,50.7709694339202,Cash,Completed
T0022,C3883,Smartphone,9,50.7709694339202,Credit Card,Completed
T0024,C828,Coffee Machine,487,50.7709694339202,Cash,Completed
T0025,C4985,Tablet,114,276.93632041675164,Paypal,Completed
T0026,C1096,Coffee,654,50.7709694339202,Paypal,Completed
T0028,C3025,Smartphone,7,797.34,Paypal,Completed
T0035,C2579,Coffee Machine,485,970.28,Credit Card,Completed
T0039,C4687,Tablet,9,50.7709694339202,Paypal,Completed
T0041,C1693,Laptop,865,50.7709694339202,Credit Card,Completed
T0047,C2200,Laptop,6,50.7709694339202,Cash,Completed
T0049,C4480,Laptop,762,50.7709694339202,Credit Card,Completed
T0054,C642,Tablet,4,50.7709694339202,Credit Card,Completed
T0057,C627,Laptop,863,50.7709694339202,Credit Card,Completed
T0064,C4415,Tablet,587,50.7709694339202,Cash,Completed
T0071,C1381,Laptop,9,50.7709694339202,Cash,Completed
T0078,C1586,Smartphone,4,50.7709694339202,Credit Card,Completed
T0080,C3707,Coffee Machine,4,933.723570095747,Pay Pal,Completed
T0083,C2616,Tablet,7,447.1746873942077,Pay Pal,Completed
T0085,C4399,Tablet,216,50.7709694339202,Cash,Completed
T0089,C4555,Headphones,709,50.7709694339202,Paypal,Completed
T0093,C3843,Tablet,973,784.0773703024178,Credit Card,Completed
T0094,C2314,Headphones,733,50.7709694339202,Pay Pal,Completed
T0097,C2670,Smartphone,514,50.7709694339202,Cash,Completed
T0104,C4574,Coffee Machine,857,322.3579934023191,Cash,Completed
T0108,C4889,Smartphone,399,50.7709694339202,Credit Card,Completed
T0109,C1809,Headphones,6,380.72421934613766,Paypal,Completed
T0114,C4252,Tablet,798,289.89395564796496,Cash,Completed
T0117,C4411,Tablet,300,50.7709694339202,Pay Pal,Completed
T0121,C4087,Tablet,903,50.7709694339202,Credit Card,Completed
